id,text,ppl
10,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",10.32
11,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",9.38
12,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",9.38
13,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has a negligible effect.",12.75
14,"The features age (Age of the patient) and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while avg_glucose_level (Average glucose level) and bmi (Body Mass Index) increase the predicted value. The feature gender (Gender of the patient) has a negligible effect.",10.8
15,"The feature age (Age of the patient) and avg_glucose_level (Average glucose level) decrease the predicted value, while bmi (Body Mass Index) slightly increases it. The features hypertension (Indicator if the patient has hypertension) and gender (Gender of the patient) have little to no effect on the prediction.",12.09
16,"The features age (Age of the patient), avg_glucose_level (Average glucose level), bmi (Body Mass Index), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has a negligible effect.",13.09
17,"The features age (Age of the patient) and avg_glucose_level (Average glucose level) decrease the predicted value, while bmi (Body Mass Index) slightly increases it. The features hypertension (Indicator if the patient has hypertension) and gender (Gender of the patient) have minimal or no effect on the prediction.",10.82
18,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",10.32
19,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has no effect.",12.59
20,"The feature age (Age of the patient) increases the predicted value, while avg_glucose_level (Average glucose level), bmi (Body Mass Index), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has a negligible effect on the prediction.",11.18
21,"The features age (Age of the patient), hypertension (Indicator if the patient has hypertension), and bmi (Body Mass Index) increase the predicted value, while avg_glucose_level (Average glucose level) decreases the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",9.7
22,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",10.32
23,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has a negligible effect.",11.2
24,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has no effect.",12.59
25,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has a negligible effect.",11.2
26,"The features age (Age of the patient), avg_glucose_level (Average glucose level), bmi (Body Mass Index), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",10.57
27,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has a negligible effect.",11.2
28,"The features age (Age of the patient) and avg_glucose_level (Average glucose level) decrease the predicted value, while bmi (Body Mass Index) and hypertension (Indicator if the patient has hypertension) increase the predicted value. The feature gender (Gender of the patient) has no effect on the prediction.",8.76
29,"The features age (Age of the patient) and bmi (Body Mass Index) increase the predicted value, while avg_glucose_level (Average glucose level) and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has a negligible effect on the predicted value.",8.13
