id,text,ppl
10,"For the instance 733, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.03
11,"For the instance 1025, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.06
12,"For the instance 1096, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.14
13,"For the instance 1831, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.28
14,"For the instance 3733, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a positive influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.11
15,"For the instance 2895, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.15
16,"For the instance 1932, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.45
17,"For the instance 1505, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.06
18,"For the instance 584, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.01
19,"For the instance 2845, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.11
20,"For the instance 2948, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.07
21,"For the instance 3951, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the third most important feature and has a positive influence on the prediction, Bmi (Body Mass Index) is the 4th most important feature and has a positive influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.06
22,"For the instance 4794, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.13
23,"For the instance 1717, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.19
24,"For the instance 1094, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",3.99
25,"For the instance 3410, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.26
26,"For the instance 1421, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.22
27,"For the instance 2299, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.12
28,"For the instance 2656, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a positive influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.17
29,"For the instance 2518, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.04
