+-------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                    Summary Results                                                                    |
+---------------+-----------------------+-------+--------------+----------+------+------------+------+------+-----------+------+--------+-------+-------+
| Dataset       | Method                | PPL   | Bigram_ratio | Conn_all | TTR  | Verb_ratio | FDR  | CSR  | CECPR     | DCPR | CCPR   | TTCPR | VCPR  |
| german_credit | templated_narrative   | 4.48  | 0.61         | 0.06     | 0.4  | 0.13       | 0.25 | 0.18 | nan       | 0.38 | 42.17  | 0.89  | 8.93  |
| german_credit | explingo              | 11.38 | 0.92         | 0.06     | 0.57 | 0.08       | 0.35 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| german_credit | explingo_zero_shot    | 13.4  | 0.92         | 0.08     | 0.65 | 0.17       | 0.33 | 0.19 | 43126.59  | 0.45 | 52.08  | 0.88  | 12.45 |
| german_credit | explingo_narratives   | 8.95  | 0.96         | 0.07     | 0.56 | 0.14       | 0.42 | 0.27 | 42351.68  | 0.44 | 54.77  | 0.96  | 15.79 |
| german_credit | xaistories            | 9.37  | 0.96         | 0.09     | 0.64 | 0.16       | 0.42 | 0.21 | 110339.29 | 0.41 | 47.12  | 0.94  | 15.52 |
| german_credit | xaistories_narratives | 10.35 | 0.97         | 0.09     | 0.66 | 0.16       | 0.4  | 0.25 | 31375.34  | 0.44 | 47.43  | 0.94  | 15.42 |
| stroke        | talktomodel           | 4.14  | 0.58         | 0.07     | 0.36 | 0.13       | 0.24 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| stroke        | templated_narrative   | 4.33  | 0.63         | 0.07     | 0.43 | 0.13       | 0.27 | 0.24 | nan       | 0.58 | 43.88  | 1.19  | 13.05 |
| stroke        | explingo              | 10.79 | 0.94         | 0.07     | 0.64 | 0.1        | 0.37 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| stroke        | explingo_zero_shot    | 10.5  | 0.97         | 0.06     | 0.71 | 0.14       | 0.4  | 0.28 | 68874.37  | 0.4  | 96.27  | 0.74  | 19.56 |
| stroke        | explingo_narratives   | 8.43  | 0.96         | 0.08     | 0.67 | 0.16       | 0.43 | 0.27 | 28691.01  | 0.45 | 68.53  | 0.92  | 16.27 |
| stroke        | xaistories            | 7.07  | 0.95         | 0.08     | 0.58 | 0.15       | 0.46 | 0.22 | 16908.83  | 0.35 | 54.45  | 0.93  | 13.91 |
| stroke        | xaistories_narratives | 8.12  | 0.96         | 0.09     | 0.62 | 0.15       | 0.44 | 0.27 | 5333.97   | 0.48 | 59.36  | 1.14  | 19.8  |
| student       | talktomodel           | 4.56  | 0.56         | 0.07     | 0.35 | 0.15       | 0.21 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| student       | templated_narrative   | 5.24  | 0.58         | 0.07     | 0.41 | 0.15       | 0.2  | 0.14 | nan       | 0.81 | 63.36  | 1.64  | 12.84 |
| student       | explingo              | 22.67 | 0.94         | 0.08     | 0.68 | 0.12       | 0.28 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| student       | explingo_zero_shot    | 12.66 | 0.95         | 0.08     | 0.71 | 0.15       | 0.37 | 0.24 | 13665.11  | 0.6  | 85.17  | 1.08  | 23.71 |
| student       | explingo_narratives   | 9.81  | 0.95         | 0.08     | 0.67 | 0.14       | 0.4  | 0.28 | 24857.51  | 0.65 | 103.6  | 1.31  | 30.05 |
| student       | xaistories            | 12.42 | 0.97         | 0.07     | 0.69 | 0.17       | 0.37 | 0.22 | 299401.09 | 0.4  | 79.99  | 0.78  | 12.36 |
| student       | xaistories_narratives | 12.1  | 0.97         | 0.08     | 0.69 | 0.17       | 0.38 | 0.27 | 85370.84  | 0.54 | 86.44  | 1.06  | 16.71 |
+---------------+-----------------------+-------+--------------+----------+------+------------+------+------+-----------+------+--------+-------+-------+
