id,text,ppl
10,"For the instance 521, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the 5th most important feature and has a positive influence on the prediction.",4.18
11,"For the instance 974, the model predicted bad credit risk: Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the third most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.52
12,"For the instance 823, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the third most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.16
13,"For the instance 174, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction, Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a positive influence on the prediction.",4.28
14,"For the instance 76, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the third most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.28
15,"For the instance 692, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a positive influence on the prediction, Checking account (Status of the applicant's checking account) is the 4th most important feature and has a negative influence on the prediction, Age (Age of the applicant) is the 5th most important feature and has a negative influence on the prediction.",4.36
16,"For the instance 346, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction, Checking account (Status of the applicant's checking account) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.36
17,"For the instance 635, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.02
18,"For the instance 737, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the second most important feature and has a positive influence on the prediction, Saving accounts (Status of the applicant's saving accounts) is the third most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the 5th most important feature and has a negative influence on the prediction.",4.82
19,"For the instance 445, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the third most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a negative influence on the prediction.",3.94
20,"For the instance 218, the model predicted good credit risk: Age (Age of the applicant) is the most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the second most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the 5th most important feature and has a negative influence on the prediction.",4.34
21,"For the instance 613, the model predicted good credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a negative influence on the prediction, Duration (Duration of the loan in months) is the 4th most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a negative influence on the prediction.",4.16
22,"For the instance 549, the model predicted good credit risk: Duration (Duration of the loan in months) is the most important feature and has a negative influence on the prediction, Age (Age of the applicant) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the 5th most important feature and has a negative influence on the prediction.",4.24
23,"For the instance 318, the model predicted good credit risk: Credit amount (Amount of credit requested) is the most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the third most important feature and has a positive influence on the prediction, Saving accounts (Status of the applicant's saving accounts) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.79
24,"For the instance 947, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction, Job (Job type or category) is the 5th most important feature and has a negative influence on the prediction.",4.51
25,"For the instance 429, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the second most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the third most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction, Duration (Duration of the loan in months) is the 5th most important feature and has a negative influence on the prediction.",4.12
26,"For the instance 371, the model predicted bad credit risk: Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the 5th most important feature and has a positive influence on the prediction.",4.12
27,"For the instance 312, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the second most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the 4th most important feature and has a negative influence on the prediction, Checking account (Status of the applicant's checking account) is the 5th most important feature and has a positive influence on the prediction.",4.27
28,"For the instance 679, the model predicted bad credit risk: Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a negative influence on the prediction, Checking account (Status of the applicant's checking account) is the 5th most important feature and has a positive influence on the prediction.",4.58
29,"For the instance 235, the model predicted bad credit risk: Credit amount (Amount of credit requested) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Checking account (Status of the applicant's checking account) is the third most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a positive influence on the prediction.",4.53
