id,text,ppl
16,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
17,"The feature Goal Scored (Number of goals scored) decreases the predicted value, while the features Passes (Total number of passes), Ball Possession % (Percentage of ball possession), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value.",8.95
18,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
19,"The feature Goal Scored (Number of goals scored) decreases the predicted value, while the features Passes (Total number of passes), Ball Possession % (Percentage of ball possession), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value.",8.95
20,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
21,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
22,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
23,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
24,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), Off-Target (Number of off-target attempts), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) increase the predicted value.",10.14
25,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
26,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), Off-Target (Number of off-target attempts), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) increase the predicted value.",10.14
27,"The features Off-Target (Number of off-target attempts), Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value, while Goal Scored (Number of goals scored) increases the predicted value.",11.9
28,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
29,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
