id,text,ppl
10,"For the instance 15, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the student) is the 5th most important feature and has a positive influence on the prediction.",4.13
11,"For the instance 22, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Goout (Frequency of going out with friends) is the third most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 5th most important feature and has a positive influence on the prediction.",4.94
12,"For the instance 390, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction, Pstatus (Parent's cohabitation status) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the student) is the 5th most important feature and has a negative influence on the prediction.",4.62
13,"For the instance 307, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Age (Age of the student) is the third most important feature and has a negative influence on the prediction, Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction, Sex (Gender of the student) is the 5th most important feature and has a positive influence on the prediction.",4.64
14,"For the instance 285, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the 5th most important feature and has a positive influence on the prediction.",4.73
15,"For the instance 234, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Medu (Mother's education level) is the third most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the student) is the 5th most important feature and has a positive influence on the prediction.",4.71
16,"For the instance 304, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction, Age (Age of the student) is the 4th most important feature and has a negative influence on the prediction, Goout (Frequency of going out with friends) is the 5th most important feature and has a negative influence on the prediction.",4.68
17,"For the instance 141, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the 5th most important feature and has a negative influence on the prediction.",4.53
18,"For the instance 72, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction, Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction, Schoolsup (Extra educational support provided by school) is the 5th most important feature and has a positive influence on the prediction.",4.71
19,"For the instance 57, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction, Goout (Frequency of going out with friends) is the 5th most important feature and has a positive influence on the prediction.",4.39
20,"For the instance 140, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Age (Age of the student) is the third most important feature and has a positive influence on the prediction, Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction, Sex (Gender of the student) is the 5th most important feature and has a positive influence on the prediction.",4.41
21,"For the instance 94, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.14
22,"For the instance 82, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Age (Age of the student) is the third most important feature and has a positive influence on the prediction, Reason (Reason for choosing the school) is the 4th most important feature and has a positive influence on the prediction, Health (Current health status) is the 5th most important feature and has a positive influence on the prediction.",4.73
23,"For the instance 371, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Higher (Desire to pursue higher education) is the third most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.75
24,"For the instance 317, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Age (Age of the student) is the 4th most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.39
25,"For the instance 25, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a negative influence on the prediction, Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the student) is the 5th most important feature and has a positive influence on the prediction.",4.74
26,"For the instance 73, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction, Goout (Frequency of going out with friends) is the 5th most important feature and has a positive influence on the prediction.",4.61
27,"For the instance 145, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Age (Age of the student) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction, Goout (Frequency of going out with friends) is the 5th most important feature and has a positive influence on the prediction.",4.43
28,"For the instance 30, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Age (Age of the student) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction, Goout (Frequency of going out with friends) is the 5th most important feature and has a positive influence on the prediction.",4.39
29,"For the instance 316, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Health (Current health status) is the third most important feature and has a positive influence on the prediction, Famrel (Quality of family relationships) is the 4th most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 5th most important feature and has a negative influence on the prediction.",4.75
