id,text,ppl
14,"The feature Duration (Duration of the loan in months) decreases the predicted value, while the features Purpose (Purpose of the loan), Age (Age of the applicant), Credit amount (Amount of credit requested), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",9.1
15,"The features Credit amount (Amount of credit requested), Purpose (Purpose of the loan), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Checking account (Status of the applicant's checking account) and Age (Age of the applicant) decrease the predicted value.",11.1
16,"The features Age (Age of the applicant) and Checking account (Status of the applicant's checking account) decrease the predicted value, while Purpose (Purpose of the loan), Duration (Duration of the loan in months), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",10.71
17,"The features Age (Age of the applicant), Credit amount (Amount of credit requested), Duration (Duration of the loan in months), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Purpose (Purpose of the loan) decreases the predicted value.",11.34
18,"The features Age (Age of the applicant), Housing (Housing status (Own, Rent, etc.)), Saving accounts (Status of the applicant's saving accounts), and Sex (Gender of the applicant) increase the predicted value, while Purpose (Purpose of the loan) decreases the predicted value.",14.04
19,"The features Duration (Duration of the loan in months) and Age (Age of the applicant) increase the predicted value, while Purpose (Purpose of the loan), Credit amount (Amount of credit requested), and Sex (Gender of the applicant) decrease the predicted value.",8.17
20,"The features Age (Age of the applicant), Housing (Housing status (Own, Rent, etc.)), and Duration (Duration of the loan in months) decrease the predicted value, while Credit amount (Amount of credit requested) and Sex (Gender of the applicant) increase the predicted value.",12.47
21,"The feature Credit amount (Amount of credit requested) increases the predicted value, while the features Age (Age of the applicant), Housing (Housing status (Own, Rent, etc.)), Duration (Duration of the loan in months), and Sex (Gender of the applicant) decrease the predicted value.",10.14
22,"The features Duration (Duration of the loan in months), Housing (Housing status (Own, Rent, etc.)), Credit amount (Amount of credit requested), and Purpose (Purpose of the loan) decrease the predicted value, while Age (Age of the applicant) increases the predicted value.",10.79
23,"The features Credit amount (Amount of credit requested), Purpose (Purpose of the loan), and Saving accounts (Status of the applicant's saving accounts) decrease the predicted value, while Sex (Gender of the applicant) and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",13.61
24,"The features Credit amount (Amount of credit requested), Age (Age of the applicant), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Purpose (Purpose of the loan) and Job (Job type or category) decrease the predicted value.",12.6
25,"The features Age (Age of the applicant) and Purpose (Purpose of the loan) increase the predicted value, while Housing (Housing status (Own, Rent, etc.)), Credit amount (Amount of credit requested), and Duration (Duration of the loan in months) decrease the predicted value.",11.72
26,"The features Purpose (Purpose of the loan), Age (Age of the applicant), Housing (Housing status (Own, Rent, etc.)), Sex (Gender of the applicant), and Duration (Duration of the loan in months) increase the predicted value.",13.97
27,"The features Credit amount (Amount of credit requested), Housing (Housing status (Own, Rent, etc.)), and Checking account (Status of the applicant's checking account) increase the predicted value, while Sex (Gender of the applicant) and Age (Age of the applicant) decrease the predicted value.",10.88
28,"The features Purpose (Purpose of the loan), Credit amount (Amount of credit requested), Housing (Housing status (Own, Rent, etc.)), and Checking account (Status of the applicant's checking account) increase the predicted value, while Sex (Gender of the applicant) decreases the predicted value.",13.42
29,"The features Credit amount (Amount of credit requested), Purpose (Purpose of the loan), Checking account (Status of the applicant's checking account), Housing (Housing status (Own, Rent, etc.)), and Sex (Gender of the applicant) increase the predicted value.",15.08
