id,text,ppl
10,"For the instance 4204, the model predicted to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Age (Age of the individual) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.42
11,"For the instance 4184, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 5th most important feature and has a negative influence on the prediction.",4.69
12,"For the instance 3459, the model predicted to recidivate: Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction, Age (Age of the individual) is the second most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 5th most important feature and has a positive influence on the prediction.",4.89
13,"For the instance 505, the model predicted to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction, Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 5th most important feature and has a positive influence on the prediction.",4.34
14,"For the instance 1507, the model predicted not to recidivate: Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the third most important feature and has a positive influence on the prediction, Age (Age of the individual) is the 4th most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 5th most important feature and has a negative influence on the prediction.",4.38
15,"For the instance 622, the model predicted to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction, Misdemeanor (Indicator if the current charge is a misdemeanor) is the 5th most important feature and has a negative influence on the prediction.",4.34
16,"For the instance 5192, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction, Age (Age of the individual) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.46
17,"For the instance 3381, the model predicted to recidivate: Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction, Age (Age of the individual) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a negative influence on the prediction, Felony (Indicator if the current charge is a felony) is the 5th most important feature and has a positive influence on the prediction.",4.48
18,"For the instance 319, the model predicted not to recidivate: Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction, Age (Age of the individual) is the second most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 5th most important feature and has a negative influence on the prediction.",4.42
19,"For the instance 752, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.54
20,"For the instance 865, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.82
21,"For the instance 5635, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction, Age (Age of the individual) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction, Misdemeanor (Indicator if the current charge is a misdemeanor) is the 5th most important feature and has a positive influence on the prediction.",4.31
22,"For the instance 5183, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Age (Age of the individual) is the second most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.44
23,"For the instance 977, the model predicted not to recidivate: Age (Age of the individual) is the most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.56
24,"For the instance 23, the model predicted to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction, Misdemeanor (Indicator if the current charge is a misdemeanor) is the 5th most important feature and has a positive influence on the prediction.",4.21
25,"For the instance 4359, the model predicted not to recidivate: Age (Age of the individual) is the most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.46
26,"For the instance 4209, the model predicted to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Age (Age of the individual) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.46
27,"For the instance 605, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction, Age (Age of the individual) is the 5th most important feature and has a negative influence on the prediction.",4.24
28,"For the instance 1101, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction, Misdemeanor (Indicator if the current charge is a misdemeanor) is the 5th most important feature and has a positive influence on the prediction.",4.3
29,"For the instance 3608, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the individual) is the 5th most important feature and has a negative influence on the prediction.",4.3
